,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,1777,7910,0.685,0.751,0.553,0.637,3.007,9687
Dropout 1,5367,4339,1609,8012,0.692,0.769,0.553,0.643,3.322,9621
Dropout 2,5367,4337,1581,8025,0.694,0.772,0.553,0.644,3.323,9606
Dropout 3,5367,4339,1593,8022,0.693,0.771,0.553,0.644,3.337,9615
Dropout 4,5369,4339,1599,8021,0.693,0.771,0.553,0.644,3.334,9620
Dropout 5,5368,4339,1606,8011,0.692,0.77,0.553,0.644,3.329,9617
Dropout 6,5368,4339,1600,8018,0.693,0.77,0.553,0.644,3.333,9618
Dropout 7,5367,4339,1557,8054,0.695,0.775,0.553,0.645,3.324,9611
Dropout 8,5367,4339,1594,8020,0.693,0.771,0.553,0.644,3.332,9614
Dropout 9,5368,4339,1574,8035,0.694,0.773,0.553,0.645,3.332,9609
Dropout 10,5366,4339,1596,8025,0.693,0.771,0.553,0.644,3.334,9621
