,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,962,8728,0.727,0.848,0.553,0.669,5.807,9690
Dropout 1,5366,4337,908,8662,0.728,0.855,0.553,0.672,5.748,9570
Dropout 2,5366,4339,915,8651,0.727,0.854,0.553,0.671,5.769,9566
Dropout 3,5367,4339,878,8699,0.729,0.859,0.553,0.673,5.78,9577
Dropout 4,5356,4335,916,8650,0.727,0.854,0.553,0.671,5.774,9566
Dropout 5,5366,4339,907,8671,0.728,0.855,0.553,0.672,5.758,9578
Dropout 6,5365,4337,926,8631,0.727,0.853,0.553,0.671,5.744,9557
Dropout 7,5365,4337,891,8677,0.729,0.858,0.553,0.673,5.766,9568
Dropout 8,5364,4334,944,8626,0.726,0.85,0.553,0.67,5.773,9570
Dropout 9,5365,4337,941,8635,0.726,0.851,0.553,0.67,5.748,9576
Dropout 10,5367,4339,914,8663,0.728,0.854,0.553,0.671,5.772,9577
